"ADP","player_name","Team","Pos","year","player_age","b_game","pa","woba","xwoba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sweet_spot_percent","oz_swing_percent","whiff_percent","k_percent","bb_percent","avg_swing_speed","avg_swing_length","r_total_stolen_base","r_total_caught_stealing","percentile_xwoba","percentile_exit_velocity_avg","percentile_barrel_batted_rate","percentile_hard_hit_percent","percentile_oz_swing_percent","percentile_whiff_percent","percentile_k_percent","percentile_bb_percent","percentile_avg_swing_speed","percentile_avg_swing_length","player_id","p_game","p_formatted_ip","p_save","p_hold","p_starting_p","fastball_avg_speed","breaking_avg_spin","percentile_fastball_avg_speed","percentile_breaking_avg_spin"
204,"Erceg, Lucas","KC","RP",2024,29,NA,NA,0.259,0.28,85.9,6.3,33.3,NA,31.9,31,28.5,6.3,NA,NA,NA,NA,0.161745827984596,0.0744544287548139,0.284980744544288,0.150192554557125,0.834403080872914,0.86007702182285,0.86007702182285,0.224646983311938,NA,NA,668674,61,61.2,14,18,0,98.6,2060,0.984536082474227,0.0534550195567145
204,"Erceg, Lucas","KC","RP",2023,28,NA,NA,0.328,0.297,86,6.4,33.3,NA,23.2,28.4,27.1,14.3,NA,NA,NA,NA,0.248071979434447,0.0886889460154242,0.286632390745501,0.163239074550129,0.143958868894602,0.710796915167095,0.800771208226221,0.872750642673522,NA,NA,668674,50,55,0,11,0,97.5,1960,0.943371943371943,0.0183006535947712
205,"Weaver, Luke","NYY","RP",2023,29,NA,NA,0.385,0.357,89.3,9.8,42,NA,24.9,21.6,19.4,7.1,NA,NA,NA,NA,0.777634961439589,0.538560411311054,0.715938303341902,0.651670951156812,0.233933161953728,0.239074550128535,0.344473007712082,0.250642673521851,NA,NA,596133,29,123.2,0,0,25,93.3,2268,0.471042471042471,0.250980392156863
205,"Weaver, Luke","NYY","RP",2022,28,NA,NA,0.367,0.356,91.5,10.8,45,NA,30.8,22.8,21.8,7.5,NA,NA,NA,NA,0.819693094629156,0.90153452685422,0.846547314578005,0.831202046035806,0.71227621483376,0.331202046035806,0.523017902813299,0.370843989769821,NA,NA,596133,26,35.2,0,0,1,94.9,2288,0.726572528883184,0.296248382923674
205,"Weaver, Luke","NYY","RP",2024,30,NA,NA,0.256,0.283,89.1,8.6,38.4,NA,31.9,33.5,31.1,7.9,NA,NA,NA,NA,0.186136071887035,0.531450577663671,0.617458279845956,0.459563543003851,0.834403080872914,0.924261874197689,0.921694480102696,0.417201540436457,NA,NA,596133,62,84,4,22,0,94.3,2544,0.625,0.628422425032594
206,"O'Hoppe, Logan","LAA","C",2022,22,5,16,0.307,0.287,84.3,0,9.1,36.4,24.1,36.7,18.8,12.5,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"O'Hoppe, Logan","LAA","C",2023,23,51,199,0.337,0.346,90.5,15.6,46.7,31.9,33.9,32.1,24.1,7,69.9,7.4,0,1,0.85048231511254,0.795819935691318,0.937299035369775,0.847266881028939,0.779742765273312,0.776527331189711,0.496784565916399,0.397106109324759,0.313513513513514,0.563963963963964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"O'Hoppe, Logan","LAA","C",2024,24,136,522,0.311,0.331,90.4,12,46.3,42.9,34,33.6,29.7,6.3,70.7,7.3,2,3,0.818181818181818,0.798701298701299,0.858766233766234,0.842532467532468,0.793831168831169,0.845779220779221,0.767857142857143,0.314935064935065,0.435064935064935,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Mullins II, Cedric","Bal","OF",2022,27,156,672,0.315,0.288,88.8,4.9,37.3,29.3,29.9,22.2,18.8,7,NA,NA,34,10,0.46656298600311,0.594090202177294,0.370139968895801,0.511664074650078,0.536547433903577,0.262830482115086,0.233281493001555,0.42457231726283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Mullins II, Cedric","Bal","OF",2023,28,116,455,0.311,0.291,88.9,6.5,37.1,28.1,26.7,24.9,22.2,9.5,71,7.5,19,3,0.37620578778135,0.538585209003215,0.451768488745981,0.446945337620579,0.368167202572347,0.387459807073955,0.372990353697749,0.652733118971061,0.475675675675676,0.67027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Mullins II, Cedric","Bal","OF",2024,29,147,499,0.31,0.291,87.1,4.9,33.4,31.7,28.1,19.2,19.6,8.2,70.9,7.5,32,6,0.438311688311688,0.316558441558442,0.340909090909091,0.329545454545455,0.472402597402597,0.142857142857143,0.262987012987013,0.564935064935065,0.467532467532468,0.676948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"Eflin, Zach","Bal","SP",2023,29,NA,NA,0.276,0.27,87.5,9,35.1,NA,34,24.1,26.5,3.4,NA,NA,NA,NA,0.0784061696658098,0.223650385604113,0.625964010282776,0.259640102827764,0.922879177377892,0.422879177377892,0.781491002570694,0.0244215938303342,NA,NA,621107,31,177.2,0,0,31,90.8,2497,0.160875160875161,0.606535947712418
208,"Eflin, Zach","Bal","SP",2022,28,NA,NA,0.295,0.281,85.3,6.1,31.1,NA,30.4,22.1,20.8,4.8,NA,NA,NA,NA,0.213554987212276,0.0626598465473146,0.317135549872123,0.108695652173913,0.667519181585678,0.286445012787724,0.474424552429668,0.0882352941176471,NA,NA,621107,20,75.2,1,2,13,92.2,2344,0.31578947368421,0.379042690815006
208,"Eflin, Zach","Bal","SP",2024,30,NA,NA,0.297,0.297,88.1,7.5,36.1,NA,32.6,21.6,19.6,3.5,NA,NA,NA,NA,0.300385109114249,0.297817715019255,0.442875481386393,0.295250320924262,0.870346598202824,0.261874197689345,0.385109114249037,0.0423620025673941,NA,NA,621107,28,165.1,0,0,28,90.3,2476,0.123711340206186,0.525423728813559
209,"Suarez, Eugenio","Ari","3B",2022,30,150,629,0.344,0.339,89.8,14.8,43.5,36.4,21.5,33.1,31.2,11.6,NA,NA,0,0,0.877138413685848,0.74805598755832,0.954898911353033,0.7900466562986,0.116640746500778,0.797822706065319,0.799377916018662,0.870917573872473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,"Suarez, Eugenio","Ari","3B",2023,31,162,694,0.313,0.324,90.3,13.2,43,37.7,23.6,32.8,30.8,10.1,72.3,7.8,2,1,0.692926045016077,0.776527331189711,0.889067524115756,0.717041800643087,0.209003215434084,0.803858520900322,0.794212218649518,0.733118971061093,0.65945945945946,0.882882882882883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,"Suarez, Eugenio","Ari","3B",2024,32,158,640,0.337,0.33,89.1,11.3,42.4,40.4,27,29.1,27.5,7.7,72.2,7.8,2,1,0.808441558441558,0.623376623376623,0.829545454545455,0.712662337662338,0.409090909090909,0.642857142857143,0.680194805194805,0.493506493506494,0.649350649350649,0.892857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
